DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
04/23/2025,01:00,HLSES_UNIT3, 29.86,N
04/23/2025,01:00,HLSES_UNIT4, 29.86,N
04/23/2025,01:00,HLSES_UNIT5, 29.86,N
04/23/2025,01:00,HLY_RN, 33.39,N
04/23/2025,01:00,HMNG_ESS_RN, 28.2,N
04/23/2025,01:00,HOLCOMB_RN1, 38.8,N
04/23/2025,01:00,HOLSTEIN_ALL, 37.28,N
04/23/2025,01:00,HOL_ALL, 34.18,N
04/23/2025,01:00,HOPKNSLR_ALL, 29.55,N
04/23/2025,01:00,HORSCR_RN, 66.05,N
04/23/2025,01:00,HORSECRK_RN, 22.07,N
04/23/2025,01:00,HOUSEMTN_RN, 66.78,N
04/23/2025,01:00,HOVEY_GEN, 66.8,N
04/23/2025,01:00,HRBESS_BESS, 66.8,N
04/23/2025,01:00,HRFDWIND_ALL, 13.14,N
04/23/2025,01:00,HRNT_SLR_RN, 12.93,N
04/23/2025,01:00,HRZN_SLR_UN1, 43.99,N
04/23/2025,01:00,HV_BESS1_RN, 33.36,N
04/23/2025,01:00,HWF_HWFG1, 30.98,N
04/23/2025,01:00,HYDR_ESS_RN, 62.97,N
04/23/2025,01:00,H_HOLLO_WND1, 37.59,N
04/23/2025,01:00,IMP_RN1, 29.47,N
04/23/2025,01:00,INDNENR_1_RN, 65.27,N
04/23/2025,01:00,INDNENR_2_RN, 65.45,N
04/23/2025,01:00,INDNNWP_RN, 65.49,N
04/23/2025,01:00,IND_INADALE1, 31.77,N
04/23/2025,01:00,INGLCOSW_CC1, 31.34,N
04/23/2025,01:00,INGLCOSW_STG, 31.34,N
04/23/2025,01:00,INGLCOS_CTG1, 31.34,N
04/23/2025,01:00,INGLCOS_CTG2, 31.34,N
04/23/2025,01:00,INGLCO_PUN1, 31.34,N
04/23/2025,01:00,INGLCO_PUN2, 31.34,N
04/23/2025,01:00,INGLCO_PUN3, 31.34,N
04/23/2025,01:00,INKS_INKS_G1, 37.22,N
04/23/2025,01:00,INRT_W_ALL, 22.65,N
04/23/2025,01:00,JACKCNTY_CC1, 29.46,N
04/23/2025,01:00,JACKCNTY_CT1, 29.46,N
04/23/2025,01:00,JACKCNTY_CT2, 29.46,N
04/23/2025,01:00,JACKCNTY_STG, 29.46,N
04/23/2025,01:00,JADE_SLR_ALL, 17.4,N
04/23/2025,01:00,JAD_RN, 33.39,N
04/23/2025,01:00,JAG_SLR_RN, 31.83,N
04/23/2025,01:00,JAR_RN, 33.73,N
04/23/2025,01:00,JAY_RN_1, 33.86,N
04/23/2025,01:00,JCKCNTY2_CC1, 28.06,N
04/23/2025,01:00,JCKCNTY2_CT3, 28.06,N
04/23/2025,01:00,JCKCNTY2_CT4, 28.06,N
04/23/2025,01:00,JCKCNTY2_ST2, 28.06,N
04/23/2025,01:00,JC_BAT_RN, 37.53,N
04/23/2025,01:00,JDKNS_RN, 71.73,N
04/23/2025,01:00,JKLP_SLR_RN, 31.3,N
04/23/2025,01:00,JUNCTION_RN, 39.35,N
04/23/2025,01:00,JUNG_SLR_RN, 33.87,N
